#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
02a58702o0583c,36.57712,-9.83594,17.42,0.03,34.51,c,22.192,58702.5182443,4479.35,5709.34,455,182,293.3,8.5,180.3,2498,444.7,1.6,2.54,2.28,1,3,-0.394
02a58702o0590c,36.57712,-9.83594,17.42,0.03,32.01,c,22.199,58702.5219438,4500.44,5745.6,439,182.3,275.3,8.6,181.7,3092.3,496.3,1.57,2.63,2.35,1,3,-0.39
02a58702o0602c,36.57712,-9.83594,17.43,0.03,33.72,c,22.209,58702.5276276,4444.25,5668.79,413,181.6,263,7.8,181.1,2188.6,415.8,1.49,2.68,2.42,1,3,-0.388
02a58702o0624c,36.57712,-9.83594,17.39,0.03,35.31,c,22.223,58702.5377854,4423.38,5783.94,442,181.8,300.1,8.5,181.4,2868,435,1.61,2.55,2.32,1,3,-0.399
01a58704o0606o,36.57712875,-9.83593375,16.99,0.03,35.77,o,22.219,58704.5230988,1793.85,4579.42,466,181.8,300.5,8.4,181.5,3861.8,522.9,1.18,2.97,2.78,1,3,-0.432
01a58704o0613o,36.57712875,-9.83593375,16.96,0.03,34.37,o,22.197,58704.5263539,1774.12,4541.14,460,182.4,299,8.7,183.3,4131.4,528.7,1.08,3,2.8,1,3,-0.431
01a58704o0625o,36.57712875,-9.83593375,17,0.03,35.16,o,22.192,58704.5319339,1833,4619.49,487,182.4,302.4,8.6,183.9,3837.1,671.6,1.32,2.9,2.73,1,3,-0.436
01a58704o0647o,36.57712875,-9.83593375,16.95,0.03,38.22,o,22.215,58704.5422063,1852.22,4505.34,462,180.8,298.1,7.8,181.5,4369.9,522.6,1.44,3.05,2.86,1,3,-0.425
02a58706o0591c,36.5771341667,-9.83593166667,16.48,0.02,56.18,c,22.124,58706.5337679,4663.58,9589.47,758,180.8,640.4,11.4,181,5894.9,544.2,2.03,2.57,2.3,1,3,-0.389
02a58706o0599c,36.5771341667,-9.83593166667,16.47,0.02,53.23,c,22.134,58706.5378771,4683.19,9628.52,785,181.5,649.4,12.2,179.8,4991.4,597.2,1.49,2.57,2.3,1,3,-0.392
02a58706o0613c,36.5771341667,-9.83593166667,16.46,0.02,64.59,c,22.228,58706.5443761,4626.43,9549.55,921,181.3,742.8,11.5,180,5700.7,461.4,1.85,2.5,2.27,1,3,-0.398
02a58706o0643c,36.5771341667,-9.83593166667,16.47,0.02,64.85,c,22.201,58706.5583174,4608.23,9666.3,828,181.5,706.9,10.9,182.7,7981.1,461.2,1.78,2.54,2.28,1,3,-0.395
