#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
02a58686o0635o,36.57712,-9.83594,>18.83,0.0,3.0,o,21.524,58686.5322798,6714.01,4169.61,177.0,202.3,-0.3,23.6,203.0,3345.4,1378.0,0.86,2.41,2.11,1.0,3.0,-0.41
02a58686o0642o,36.57712,-9.83594,16.8,0.46,1.91,o,20.784,58686.535509,6732.88,4208.44,1493.0,1202.2,153.3,80.2,1188.3,6575.4,5333.5,0.9,2.45,2.11,1.0,3.0,-0.432
02a58686o0655o,36.57712,-9.83594,>16.88,0.0,3.0,o,21.433,58686.5414677,6676.37,4130.51,-1880.0,-1891.3,46.3,133.3,-1896.5,5513.7,8447.5,0.32,2.38,2.09,1.0,3.0,-0.411
02a58686o0677o,36.57712,-9.83594,>18.05,0.0,3.0,o,21.168,58686.5515832,6656.67,4245.94,553.0,486.7,1.7,32.7,486.5,961.3,2077.5,0.94,2.54,2.13,1.0,3.0,-0.404
01a58688o0731o,36.57712,-9.83594,19.99,0.43,2.05,o,22.248,58688.5921612,8152.38,6662.65,223.0,183.0,17.4,8.5,182.1,612.2,639.0,1.34,3.15,2.98,1.0,3.0,-0.422
01a58688o0746o,36.57712,-9.83594,>20.06,0.0,3.0,o,22.251,58688.5993946,8132.39,6624.46,209.0,183.2,1.0,9.3,182.1,-11.8,742.4,1.28,2.94,2.75,1.0,3.0,-0.432
01a58688o0753o,36.57712,-9.83594,>20.09,0.0,3.0,o,22.254,58688.6026485,8192.45,6702.57,153.0,183.0,-4.1,9.1,181.7,342.2,685.5,1.03,2.93,2.76,1.0,3.0,-0.434
01a58688o0782o,36.57712,-9.83594,>20.01,0.0,3.0,o,22.259,58688.6162773,8214.87,6586.89,205.0,181.8,-0.3,9.9,179.8,-1750.1,744.7,1.05,2.96,2.71,1.0,3.0,-0.431
02a58690o0708o,36.57712,-9.83594,>20.49,0.0,3.0,o,22.184,58690.5845044,4573.48,7645.95,188.0,182.9,-4.6,11.3,183.6,595.4,575.5,1.07,2.18,1.93,1.0,3.0,-0.429
02a58690o0715o,36.57712,-9.83594,>20.47,0.0,3.0,o,22.184,58690.5877258,4591.93,7684.54,162.0,181.9,-15.8,12.1,181.5,214.7,581.2,1.31,2.16,1.86,1.0,3.0,-0.44
02a58690o0730o,36.57712,-9.83594,20.53,0.44,1.98,o,22.189,58690.5947841,4535.77,7605.91,192.0,185.3,22.6,11.4,185.8,784.1,665.9,1.33,2.16,1.9,1.0,3.0,-0.438
02a58690o0754o,36.57712,-9.83594,>20.52,0.0,3.0,o,22.192,58690.6059311,4515.01,7721.97,176.0,187.3,-5.9,11.4,186.5,-154.5,736.9,1.2,2.16,1.9,1.0,3.0,-0.438
01a58692o0639o,36.57712,-9.83594,>20.27,0.0,3.0,o,22.199,58692.5373478,8142.01,6666.25,184.0,183.2,1.9,6.8,181.9,-43.7,546.2,1.13,3.06,2.83,1.0,3.0,-0.424
01a58692o0645o,36.57712,-9.83594,>20.29,0.0,3.0,o,22.203,58692.5404055,8127.24,6630.9,223.0,182.6,-9.4,6.4,183.5,149.9,626.0,1.57,3.13,2.9,1.0,3.0,-0.422
01a58692o0656o,36.57712,-9.83594,20.97,0.72,1.07,o,22.21,58692.5455283,8186.49,6707.63,198.0,182.8,7.6,7.1,182.9,3.2,595.7,1.43,3.03,2.74,1.0,3.0,-0.428
