#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
01a58546o0459o,115.957272174,56.71729,>20.44,0,3,o,22.254,58546.4313621,1016.32,5788.91,178,182.8,0.6,5.8,181.3,1.8,462.1,1.27,3.16,2.9,1,3,-0.426
01a58546o0462o,115.957272174,56.71729,>20.33,0,3,o,22.246,58546.4327506,10051.6,5637.62,152,181.9,-18.4,6.6,182.5,7.2,439.6,0.9,3.11,2.84,1,3,-0.429
01a58546o0486o,115.957272174,56.71729,>20.38,0,3,o,22.249,58546.4441273,948.41,5704.42,206,182.6,3,5.6,182.3,1152.9,459.1,1.42,3.28,3.04,1,3,-0.426
01a58546o0499o,115.957272174,56.71729,>20.41,0,3,o,22.247,58546.4501157,929.75,5821.39,182,183,0.8,5.7,185.7,1743.4,510.2,1.26,3.23,2.96,1,3,-0.422
01a58550o0371o,115.957272174,56.71729,20.19,0.39,2.33,o,22.255,58550.3821897,7247.75,7669.25,205,181.4,14,6,181.4,814.8,453.1,0.99,3.21,3,1,3,-0.42
01a58550o0406o,115.957272174,56.71729,>20.49,0,3,o,22.252,58550.3985212,7270.08,7707.34,199,182.6,-4.5,5.4,181.4,627.9,463.9,1.4,3.15,2.98,1,3,-0.424
01a58550o0413o,115.957272174,56.71729,>20.35,0,3,o,22.25,58550.4017459,7205.86,7633.58,181,181.7,-1.9,6.4,179.4,-706.7,414.8,0.9,3.08,2.91,1,3,-0.426
01a58550o0441o,115.957272174,56.71729,>20.43,0,3,o,22.246,58550.414873,7195.17,7749.51,176,182.5,1,5.9,184.2,1152.7,403.2,1.01,3.1,2.91,1,3,-0.428
01a58554o0339o,115.957272174,56.71729,>20.31,0,3,o,22.253,58554.3683501,6717.61,1875.16,179,183.1,-0.8,6.4,182.7,684.5,555.6,1.39,3.15,2.97,1,3,-0.423
01a58554o0368o,115.957272174,56.71729,>20.25,0,3,o,22.25,58554.3819118,6740.92,1911.19,198,181.9,3.2,6.6,179.9,-927.4,573.8,1.13,3.19,3.01,1,3,-0.426
01a58554o0380o,115.957272174,56.71729,>20.32,0,3,o,22.25,58554.3874352,6688.97,1837.86,194,182.9,5,7.2,183.2,486.3,492.1,1.01,2.98,2.75,1,3,-0.432
01a58554o0403o,115.957272174,56.71729,>20.28,0,3,o,22.245,58554.3981905,6669.56,1954.28,195,183.5,-7.5,6.6,185.1,1621.2,539.3,1.12,3.12,2.96,1,3,-0.429
01a58558o0348o,115.957272174,56.71729,>19.59,0,3,o,22.257,58558.3710149,4248.46,5804.71,219,182,8.3,12.2,184.4,1675.9,874.9,1.15,3.18,3,1,3,-0.417
01a58558o0379o,115.957272174,56.71729,20.16,0.67,1.17,o,22.255,58558.3855084,4270.1,5840.45,189,181.6,15.8,13.5,183.3,553.2,1166.3,0.93,3.05,2.87,1,3,-0.427
01a58558o0391o,115.957272174,56.71729,>19.6,0,3,o,22.252,58558.3910325,4207.73,5766.6,233,182.1,4.5,13.4,183.9,242.5,983.2,1.03,3.02,2.83,1,3,-0.43
01a58558o0419o,115.957272174,56.71729,>19.53,0,3,o,22.249,58558.4041744,4196.89,5878.86,184,181,9.3,14.2,183.2,1062.8,1226,1.01,3.01,2.85,1,3,-0.432
01a58562o0279o,115.957272174,56.71729,>19.41,0,3,o,22.271,58562.3430635,3008.97,1924.29,126,183,12.2,13.7,185.6,1631.6,1193.6,1.29,3.38,3.01,1,3,-0.42
01a58562o0285o,115.957272174,56.71729,>19.48,0,3,o,22.27,58562.3458259,3021.24,1964.32,197,182.1,-7.7,14.4,187.9,2600.7,1203.5,0.91,3.12,2.92,1,3,-0.436
01a58562o0313o,115.957272174,56.71729,20.15,0.74,1.02,o,22.268,58562.3588767,2967.71,1882.45,176,181.1,16.4,16,182.9,3556.3,1137,1.08,3.03,2.83,1,3,-0.437
01a58562o0328o,115.957272174,56.71729,19.84,0.6,1.35,o,22.264,58562.3657797,2950.18,1999.02,171,182,19.7,14.6,184.9,3718.5,1290.6,1.27,3.17,2.99,1,3,-0.438
01a58566o0300o,115.957272174,56.71729,>18.71,0,3,o,21.806,58566.3526122,8144.36,5686.4,209,182.9,2.1,16.4,188.1,1798.4,1496.5,1.03,3.5,3.03,1,3,-0.4
01a58566o0309o,115.957272174,56.71729,>18.33,0,3,o,21.525,58566.3567732,8166.51,5724.29,190,197.2,-1,22,196.9,921.8,1716.1,1.1,3.06,2.81,1,3,-0.437
01a58566o0333o,115.957272174,56.71729,>19.13,0,3,o,22.015,58566.3680642,8112.48,5648.29,166,190.2,4.4,15.4,190.1,1193.4,1102.4,1.09,3.15,2.94,1,3,-0.43
01a58566o0349o,115.957272174,56.71729,>18.25,0,3,o,21.548,58566.3754382,8093.84,5768.21,116,195.7,3.9,22.6,200.3,1981.3,1792.7,1.24,3.11,2.97,1,3,-0.438
02a58568o0198o,115.957272174,56.71729,>20.39,0,3,o,22.196,58568.338519,600.11,8755.05,194,182.1,-3.5,9.5,183.6,947.2,533.4,0.84,2.7,2.05,1,3,-0.426
02a58568o0222o,115.957272174,56.71729,>20.43,0,3,o,22.194,58568.3497419,579.08,8713.47,195,181.8,-10.4,9.6,184.4,438.9,573.6,1.18,2.55,2.07,1,3,-0.424
02a58568o0239o,115.957272174,56.71729,>20.46,0,3,o,22.198,58568.3575842,9330.82,8769.57,177,182.1,-3.7,9.5,182.2,274.7,510.8,1.01,2.58,2.03,1,3,-0.428
02a58568o0241o,115.957272174,56.71729,>20.37,0,3,o,22.191,58568.3584996,629.41,8786.42,186,182.9,1.7,9.9,182.2,29.4,513.3,1.16,2.67,2.02,1,3,-0.427
02a58568o0262o,115.957272174,56.71729,>20.36,0,3,o,22.187,58568.3684449,653.71,8669.72,201,182.6,4.2,9.9,185.1,750.1,644.4,1.22,2.63,2.07,1,3,-0.423
02a58568o0265o,115.957272174,56.71729,>20.56,0,3,o,22.195,58568.3698749,9306.35,8729.69,191,181.6,1.8,9.1,180.2,188.2,565.6,0.99,2.54,1.95,1,3,-0.43
02a58568o0281o,115.957272174,56.71729,>20.45,0,3,o,22.193,58568.3772418,9360.19,8810.61,184,181.8,4.9,9.8,183.9,978,643.5,1.14,2.59,1.96,1,3,-0.43
02a58568o0301o,115.957272174,56.71729,>20.46,0,3,o,22.189,58568.3866812,9384.13,8694.91,192,182.6,5.3,9.6,180.4,16.2,566.2,1.01,2.64,1.94,1,3,-0.43
02a58572o0261o,115.957272174,56.71729,>20.42,0,3,o,22.14,58572.3354163,5113.61,865.54,184,179.1,-16.5,11,182.7,560.7,663.8,0.97,2.3,1.93,1,3,-0.419
02a58572o0267o,115.957272174,56.71729,>20.45,0,3,o,22.14,58572.338158,5092.13,825.48,223,181.6,9.1,10.9,183.1,448.1,592.6,1.41,2.27,1.92,1,3,-0.426
02a58572o0291o,115.957272174,56.71729,20.95,0.61,1.33,o,22.133,58572.3493634,5157.05,904.14,202,182.2,13.7,10.3,180.1,-339.8,581.8,0.73,2.09,2.09,1,3,-0.431
02a58572o0302o,115.957272174,56.71729,>20.48,0,3,o,22.129,58572.3543925,5178.55,783.91,152,181.8,-10.3,10.3,182.7,636.2,546,1.28,2.26,1.96,1,3,-0.432
02a58572o0326o,115.957272174,56.71729,None,None,None,o,22.134,58572.3656626,None,None,None,None,None,None,None,None,None,None,None,None,1,3,-0.429
02a58576o0311c,115.957272174,56.71729,>20.59,0,3,c,22.166,58576.3671654,8263.12,4826.86,160,181.8,-13.3,7.4,180.5,-286.1,402.6,1.28,2.4,2.4,1,3,-0.397
02a58576o0324c,115.957272174,56.71729,>20.57,0,3,c,22.16,58576.373127,8250.52,4788.04,182,181.4,-17.1,7.1,180.4,63.8,437.6,0.86,2.6,2.34,1,3,-0.392
02a58576o0363c,115.957272174,56.71729,>20.52,0,3,c,22.142,58576.391283,8301.2,4866.63,184,181.5,-7.2,8.1,183.3,619.3,461.4,0.95,2.46,2.24,1,3,-0.402
02a58576o0385c,115.957272174,56.71729,>20.6,0,3,c,22.129,58576.4016801,8323.59,4752.27,197,181.4,-14.7,7.5,177.5,-450.9,405.6,1.18,2.45,2.23,1,3,-0.404
01a58578o0256o,115.957272174,56.71729,>20.38,0,3,o,22.239,58578.3337151,5217.9,3859.69,172,182.3,-2.8,5.8,183.3,1231.1,501.1,1.25,3.35,2.85,1,3,-0.41
01a58578o0267o,115.957272174,56.71729,21.03,0.72,1.06,o,22.238,58578.3388877,5241.37,3899.04,174,181.4,6.6,6.2,181.9,1059.9,441.8,0.96,3.33,2.82,1,3,-0.411
01a58578o0307o,115.957272174,56.71729,20.74,0.62,1.3,o,22.23,58578.3575234,5179.77,3823.58,209,180.4,9.1,7,179.1,-73.9,517.7,1.03,3.13,2.8,1,3,-0.424
01a58578o0324o,115.957272174,56.71729,20.35,0.45,1.93,o,22.225,58578.3655519,5160.75,3937.74,194,180.7,12.9,6.7,181.2,647.9,452.9,1.01,3.13,2.8,1,3,-0.424
02a58580o0275c,115.957272174,56.71729,>20.59,0,3,c,22.174,58580.349916,5368,2811.76,154,180.2,-23.7,7.3,178.4,58.1,493.1,0.95,2.6,2.27,1,3,-0.391
02a58580o0284c,115.957272174,56.71729,>20.6,0,3,c,22.17,58580.3540885,5355.86,2773.94,199,179.9,0.1,7.4,177.9,424.6,480.1,1.17,2.39,2.39,1,3,-0.396
02a58580o0309c,115.957272174,56.71729,>20.53,0,3,c,22.161,58580.3666137,5409.74,2848.84,162,182.1,-26.5,7.7,182.1,524.4,473.9,0.85,2.42,2.42,1,3,-0.3935
02a58580o0324c,115.957272174,56.71729,>20.59,0,3,c,22.153,58580.3734716,5431.01,2729.4,185,181.4,-7.1,7.3,178.3,-158.1,462.6,1.1,2.51,2.3,1,3,-0.399
