#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
02a58648o0606o,325.887236127,43.5495187324,19.85,0.43,2.06,o,22.196,58648.5179736,1304.27,8158.38,217.0,178.8,39.9,19.4,177.3,1422.1,1186.2,1.92,2.25,1.9,1.0,3.0,-0.4615
02a58648o0619o,325.887236127,43.5495187324,>19.87,0.0,3.0,o,22.2,58648.5242457,1244.1,8080.44,224.0,178.7,12.8,19.8,186.0,3416.8,1109.5,2.02,2.25,1.92,1.0,3.0,-0.46
02a58648o0642o,325.887236127,43.5495187324,>19.97,0.0,3.0,o,22.209,58648.5349658,1224.2,8197.4,123.0,177.8,-1.6,18.4,174.7,-343.0,1081.5,1.43,2.23,1.92,1.0,3.0,-0.468
01a58650o0562o,325.887236127,43.5495187324,19.91,0.51,1.69,o,22.262,58650.5628878,2121.67,797.0,261.0,175.9,20.9,12.4,172.7,1192.1,985.8,1.33,2.99,2.76,1.0,3.0,-0.452
01a58650o0569o,325.887236127,43.5495187324,>19.75,0.0,3.0,o,22.262,58650.5661128,2098.71,759.64,177.0,178.3,-14.5,12.5,180.7,613.3,1000.6,1.38,2.97,2.73,1.0,3.0,-0.456
01a58650o0582o,325.887236127,43.5495187324,>19.74,0.0,3.0,o,22.265,58650.5723464,2160.77,837.62,149.0,179.5,-6.9,13.4,180.7,-322.5,973.9,1.45,2.9,2.64,1.0,3.0,-0.464
01a58650o0607o,325.887236127,43.5495187324,19.87,0.5,1.72,o,22.264,58650.584861,2177.76,721.27,186.0,181.3,21.8,12.7,177.4,-64.6,899.5,1.47,3.0,2.75,1.0,3.0,-0.454
01a58654o0637o,325.887236127,43.5495187324,>19.83,0.0,3.0,o,22.265,58654.5332734,2125.87,791.76,182.0,180.8,-23.5,11.1,180.4,153.0,823.7,1.52,3.06,2.78,1.0,3.0,-0.446
01a58654o0644o,325.887236127,43.5495187324,>19.85,0.0,3.0,o,22.265,58654.5365084,2104.38,753.74,186.0,180.5,-13.1,11.1,179.4,-692.4,856.3,1.42,3.02,2.75,1.0,3.0,-0.452
01a58654o0656o,325.887236127,43.5495187324,>19.44,0.0,3.0,o,22.177,58654.5421463,2165.96,830.9,155.0,177.7,-4.0,14.7,177.7,-366.0,1038.1,1.06,3.05,2.78,1.0,3.0,-0.443
01a58654o0678o,325.887236127,43.5495187324,>19.85,0.0,3.0,o,22.265,58654.5524542,2182.04,716.01,220.0,180.6,0.3,10.8,182.6,66.3,930.8,1.33,3.07,2.8,1.0,3.0,-0.446
02a58656o0565o,325.887236127,43.5495187324,>20.17,0.0,3.0,o,22.204,58656.5039708,4177.03,4112.91,125.0,180.0,-23.3,13.2,181.9,1256.9,820.9,1.41,2.43,2.03,1.0,3.0,-0.431
